from	to	cluster
GRIK2	LMTK2	cluster2
GRIK2	GNAI1	cluster2
GRIK2	MPP6	cluster2
RNF11	GRIK2	cluster2
MEX3B	GRIK2	cluster2
GRIK2	GNAO1	cluster2
GRIK2	STXBP1	cluster2
GRIK2	VDAC3	cluster2
GRIK2	SLC25A4	cluster2
GRIK2	KCNJ12	cluster2
GRIK2	MAP1B	cluster2
GRIK2	ATP1A3	cluster2
GRIK2	AP3B2	cluster2
GRIK2	NTRK2	cluster2
DUSP4	DIRAS1	cluster2
DUSP4	SCN1A	cluster2
DUSP4	GNB5	cluster2
DUSP4	KIFAP3	cluster2
DUSP4	NPTN	cluster2
DUSP4	HOMER2	cluster2
DUSP4	SPTBN4	cluster2
RNF11	DUSP4	cluster2
DUSP4	STXBP1	cluster2
DUSP4	KCNJ12	cluster2
DUSP4	ATP1A3	cluster2
DUSP4	AP3B2	cluster2
GAPDH	SEPT7	cluster2
GAPDH	ENO1	cluster2
GAPDH	ALDOA	cluster2
GAPDH	VAMP2	cluster2
GAPDH	ATP5C1	cluster2
HSP90AA1	GAPDH	cluster2
GAPDH	SLC25A4	cluster2
GRIP1	PCLO	cluster2
GRIP1	CDC42	cluster2
GRIP1	KIFAP3	cluster2
GRIP1	NPTN	cluster2
MARCH4	GRIP1	cluster2
GRIP1	LDHA	cluster2
GRIP1	GRIN1	cluster2
GRIP1	ATP6V0C	cluster2
GRIP1	CRMP1	cluster2
GRIP1	RAB3A	cluster2
RNF11	GRIP1	cluster2
GRIP1	VDAC3	cluster2
GRIP1	KLC1	cluster2
GRIP1	KCNJ12	cluster2
GRIP1	ATP1A3	cluster2
GRIP1	SYT3	cluster2
DIRAS1	ATP6V1C1	cluster2
DIRAS1	DYNC1H1	cluster2
DIRAS1	PCLO	cluster2
DIRAS1	SCN1A	cluster2
DIRAS1	GNB5	cluster2
DIRAS1	PLD3	cluster2
DIRAS1	YWHAG	cluster2
DIRAS1	CDC42	cluster2
DIRAS1	KIFAP3	cluster2
DIRAS1	NPTN	cluster2
DIRAS1	ALDOA	cluster2
MARCH4	DIRAS1	cluster2
DIRAS1	LDHA	cluster2
DIRAS1	GRIN1	cluster2
DIRAS1	PGM2L1	cluster2
DIRAS1	OXR1	cluster2
DIRAS1	ATP6V1A	cluster2
DIRAS1	ATP6V0C	cluster2
DIRAS1	VAMP2	cluster2
DIRAS1	ATP2A2	cluster2
DIRAS1	MAP1A	cluster2
DIRAS1	CRMP1	cluster2
DIRAS1	SPTBN4	cluster2
DIRAS1	FABP3	cluster2
DIRAS1	STRAP	cluster2
DIRAS1	SYT12	cluster2
DIRAS1	ATP6V1G2	cluster2
DIRAS1	LMTK2	cluster2
DIRAS1	REEP5	cluster2
DIRAS1	LRRTM1	cluster2
DIRAS1	BSN	cluster2
DIRAS1	RAB3A	cluster2
RNF11	DIRAS1	cluster2
DNAJB14	DIRAS1	cluster2
DIRAS1	TAGLN3	cluster2
DIRAS1	STXBP1	cluster2
DIRAS1	VDAC3	cluster2
DIRAS1	KLC1	cluster2
DIRAS1	SLC25A4	cluster2
DIRAS1	KCNJ12	cluster2
DIRAS1	MAP1B	cluster2
HSPH1	DIRAS1	cluster2
DIRAS1	ATP1A3	cluster2
DIRAS1	SYT3	cluster2
DIRAS1	AP3B2	cluster2
DIRAS1	NTRK2	cluster2
SEPT7	VAMP2	cluster2
HSP90AA1	SEPT7	cluster2
HSPB2	SEPT7	cluster2
SEPT7	SLC25A4	cluster2
ATP6V1C1	DYNC1H1	cluster2
ATP6V1C1	PLD3	cluster2
ATP6V1C1	ENO1	cluster2
ATP6V1C1	CDC42	cluster2
ATP6V1C1	KIFAP3	cluster2
ATP6V1C1	ALDOA	cluster2
ATP6V1C1	LDHA	cluster2
ATP6V1C1	GRIN1	cluster2
ATP6V1C1	PGM2L1	cluster2
ATP6V1C1	ATP6V1A	cluster2
ATP6V1C1	VAMP2	cluster2
ATP6V1C1	FABP3	cluster2
ATP6V1C1	STRAP	cluster2
ATP6V1C1	LMTK2	cluster2
RNF11	ATP6V1C1	cluster2
ATP6V1C1	ATP5C1	cluster2
DNAJB14	ATP6V1C1	cluster2
ATP6V1C1	VDAC3	cluster2
ATP6V1C1	KLC1	cluster2
ATP6V1C1	SLC25A4	cluster2
ATP6V1C1	SYT3	cluster2
DYNC1H1	PCLO	cluster2
DYNC1H1	SCN1A	cluster2
DYNC1H1	GNB5	cluster2
DYNC1H1	PDE10A	cluster2
DYNC1H1	PLD3	cluster2
DYNC1H1	YWHAG	cluster2
DYNC1H1	ENO1	cluster2
DYNC1H1	CDC42	cluster2
DYNC1H1	KIFAP3	cluster2
DYNC1H1	ALDOA	cluster2
DYNC1H1	LDHA	cluster2
DYNC1H1	GRIN1	cluster2
DYNC1H1	PTPRD	cluster2
DYNC1H1	PGM2L1	cluster2
DYNC1H1	ATP6V1A	cluster2
DYNC1H1	VAMP2	cluster2
DYNC1H1	MAP1A	cluster2
DYNC1H1	CRMP1	cluster2
DYNC1H1	SPTBN4	cluster2
DYNC1H1	FABP3	cluster2
DYNC1H1	STRAP	cluster2
DYNC1H1	LMTK2	cluster2
DYNC1H1	GNAI1	cluster2
DYNC1H1	RAB3A	cluster2
DYNC1H1	MPP6	cluster2
RNF11	DYNC1H1	cluster2
DYNC1H1	ATP5C1	cluster2
HSP90AA1	DYNC1H1	cluster2
DYNC1H1	GNAO1	cluster2
DYNC1H1	STXBP1	cluster2
DYNC1H1	VDAC3	cluster2
DYNC1H1	KLC1	cluster2
DYNC1H1	SLC25A4	cluster2
DYNC1H1	MAP1B	cluster2
DYNC1H1	SYT3	cluster2
DYNC1H1	AP3B2	cluster2
DYNC1H1	NTRK2	cluster2
ERC2	PCLO	cluster2
ERC2	KIFAP3	cluster2
ERC2	NPTN	cluster2
ERC2	CRMP1	cluster2
ERC2	SPTBN4	cluster2
ERC2	SORBS2	cluster2
ERC2	BSN	cluster2
RNF11	ERC2	cluster2
ERC2	GNAO1	cluster2
ERC2	TAGLN3	cluster2
ERC2	STXBP1	cluster2
PCLO	SCN1A	cluster2
PCLO	GNB5	cluster2
PCLO	YWHAG	cluster2
PCLO	CDC42	cluster2
PCLO	KIFAP3	cluster2
PCLO	NPTN	cluster2
MARCH4	PCLO	cluster2
PCLO	LDHA	cluster2
PCLO	GRIN1	cluster2
HERC1	PCLO	cluster2
PCLO	PGM2L1	cluster2
PCLO	OXR1	cluster2
PCLO	ATP6V1A	cluster2
PCLO	ATP6V0C	cluster2
PCLO	VAMP2	cluster2
PCLO	ATP2A2	cluster2
PCLO	MAP1A	cluster2
PCLO	CRMP1	cluster2
PCLO	SPTBN4	cluster2
PCLO	FABP3	cluster2
PCLO	STRAP	cluster2
PCLO	SYT12	cluster2
PCLO	ATP6V1G2	cluster2
PCLO	LMTK2	cluster2
PCLO	REEP5	cluster2
PCLO	BSN	cluster2
PCLO	RAB3A	cluster2
PCLO	MPP6	cluster2
RNF11	PCLO	cluster2
PCLO	GNAO1	cluster2
DNAJB14	PCLO	cluster2
PCLO	TAGLN3	cluster2
PCLO	STXBP1	cluster2
PCLO	VDAC3	cluster2
PCLO	KLC1	cluster2
PCLO	SLC25A4	cluster2
PCLO	KCNJ12	cluster2
PCLO	MAP1B	cluster2
PCLO	CACNA1I	cluster2
HSPH1	PCLO	cluster2
PCLO	ATP1A3	cluster2
PCLO	SYT3	cluster2
PCLO	AP3B2	cluster2
PCLO	NTRK2	cluster2
CCNF	SCN1A	cluster2
CCNF	GNB5	cluster2
CCNF	PDE10A	cluster2
CCNF	KIFAP3	cluster2
CCNF	NPTN	cluster2
CCNF	GRIN1	cluster2
CCNF	PGM2L1	cluster2
CCNF	CRMP1	cluster2
CCNF	SPTBN4	cluster2
CCNF	LMTK2	cluster2
CCNF	BSN	cluster2
CCNF	MPP6	cluster2
CCNF	RNF11	cluster2
CCNF	STXBP1	cluster2
CCNF	VDAC3	cluster2
CCNF	KCNJ12	cluster2
CCNF	ATP1A3	cluster2
