	LGd	Chrna2	LP	LGv	Chrna3	Chrna1
Pald1	16.899231578947372	33.47280833333334	25.96308	0.0	18.740700000000004	29.4508
Zscan29	27.802178260869532	26.716489915966385	18.226814666666673	23.198820000000005	22.40219523809524	32.15176527777778
Nop14	30.937098509174316	54.120868095238094	32.35411586206896	28.941791666666663	65.63135789473685	54.92449622641509
Reps1	43.75185263157896	30.67439831460673	42.26908363636362	17.3642625	60.74514615384616	27.880497752808992
Cul3	125.06236474677252	94.3492132780083	111.68880261780112	96.49128666666665	138.96868599999996	102.04036370370373
Fam186b	7.440652657004834	10.572400000000002	10.861966666666667	6.8962666666666665	13.77336	22.808276923076924
Sec23a	121.58580089197244	162.40558925619834	141.80238072916663	116.98130714285715	167.560348	157.79568394160583
Rint1	25.307323422330104	33.42738268156424	32.3772169117647	52.06442	37.84293030303029	42.195329545454534
Loxl2	8.46675	2.0445857142857142	3.96705	0.0	2.0525	4.2897
Kirrel3	13.256971755725191	31.21169019607844	90.02231017964074	17.610500000000002	39.72869333333334	21.16282380952381
Pla2g4e	15.292266883116888	30.805824137931026	19.495051515151513	35.176581818181816	22.04704736842105	30.513922641509435
Lrfn2	4.086372469635629	6.674551250000002	4.840493750000001	5.860212499999999	7.329744444444444	6.324411111111111
Pygb	28.629944183445215	36.81898677685951	27.420165873015865	8.336333333333336	39.511166666666654	40.80730222222221
Dact1	17.11588782608696	21.249060526315787	5.9828375000000005	28.48878571428571	45.57791666666666	18.859816666666674
Cdh9	0.0	22.30970294117647	8.53396	0.0	18.326060000000002	24.19613333333333
Ubtf	58.26628778550152	45.539513223140496	64.49614368421051	122.34067333333334	69.31324705882352	60.182350724637665
Tle4	18.69207792000001	65.60164946236557	20.96444675324676	14.553036363636362	87.30067115384614	65.1469951219512
Dhx40	38.86712101990048	53.92876337209305	48.53652237762237	49.574285714285715	60.183588888888885	49.68146404494383
Sp4	35.88077214723926	51.43880471204186	30.14258106060605	44.404784615384614	77.11893870967741	51.52400275229357
Vav3	227.15320167984203	51.86819418604652	277.517334375	69.875225	65.59574545454545	39.05943709677419
Akap4	0.0	0.0	0.0	0.0	0.0	0.0
Polk	18.572974222222214	39.40780000000001	20.025735820895523	52.09701428571429	58.54237407407408	32.89786436781609
Acap3	51.85798743718593	45.13145700483088	48.762686931818195	85.2318142857143	63.98295609756099	46.944918333333334
Stat5a	8.251838095238096	5.456238461538462	7.39214	0.0	7.4066	2.9269999999999996
Cep97	36.908017370325744	45.535859006211176	33.05803865546218	29.103787499999996	51.32037333333334	40.24533375
Fgfr2	1.3787666666666667	25.237941269841265	11.332833333333333	0.0	30.87326428571429	25.747818604651165
Uhrf1	5.827473684210526	4.638680000000001	6.850133333333333	0.0	0.0	0.0
Hid1	59.30342235528936	64.87351954545451	71.29625376344087	100.79417857142857	76.41261555555559	79.71695213675216
Afap1l2	3.0202799999999996	12.95418	34.0766	0.7867	0.4928	7.0348
Gprasp2	136.79788850346884	341.3335559523812	166.42277031250006	87.77963846153847	305.4665037037037	334.6552138888886
Ift88	50.96441450777206	38.60109361702128	45.52265562130178	23.0511	33.11879444444445	50.369930841121494
Dyrk1a	44.27380494335742	30.375180612244893	36.48932229299364	26.503123076923075	42.942818918918924	32.94767207207209
Ift80	36.54943238566133	62.241020408163266	38.00737542372881	36.22243333333333	85.14903235294118	72.84196823529412
Brinp3	49.440555194805206	125.18744010152288	72.55523535911598	176.18561333333335	76.21046590909091	57.35986129032256
Dgkg	8.938019801980197	81.00517172774872	34.89700666666666	10.8978	68.87669714285713	64.58336633663366
Dzip1	38.054239360529216	56.29253660714284	29.59718604651162	28.40736666666667	65.21522826086957	56.63867985074626
Etaa1	18.392344502617792	17.680111999999998	22.89113431372549	37.742785714285716	37.36330454545455	17.709938461538464
Usp6nl	16.198012621359226	23.992697142857143	20.533144444444442	17.882025	23.20922142857143	29.134869696969705
Tle1	32.32711200453002	18.413927499999996	50.27459649122808	38.500877777777774	43.28980769230769	33.802236
Arnt	24.894606030701755	31.600852525252527	24.37267718120805	41.09955	21.357555882352937	39.21562843137255
St14	26.120091280653966	8.880424999999999	18.43054242424243	9.4339	97.0373	6.6098
Map4k1	11.012792307692308	27.759375	17.0215125	0.0	37.051183333333334	40.851177777777785
Aldh18a1	32.778958090803215	40.60169105691056	30.906398305084746	23.553275	44.18214074074075	40.223088157894736
Eml1	149.98197368941632	52.14259715909088	158.2599214659686	62.395238461538455	76.59352631578948	61.535598979591846
Taf5	13.356035555555563	23.406243999999994	16.7226472972973	24.809125	35.182835	18.581636
Usp26	13.404234782608695	34.4892	0.0	0.0	19.867	16.84585
Mogs	16.856197517730497	18.463699999999992	24.696279439252333	27.17471111111111	41.40892000000001	22.885821999999997
Maged1	484.1157729249008	990.8081543650791	667.738066839378	297.2458466666667	1030.1017351851854	958.5471821917808
Arhgef7	62.92643861788622	52.1112	57.15755136612022	49.33340769230768	72.89594418604652	45.11735089285713
Cdh7	32.3090377613776	36.62392916666668	37.542796093750006	4.1776	22.143279999999997	27.47885641025642
Sp1	24.349597142857146	29.134326470588235	27.536335820895527	14.767419999999998	42.92301	30.069888095238102
Sp3	46.63219865284975	44.342958064516125	45.44296608187135	55.62945454545454	40.17219166666668	49.51341071428572
Fap	4.393866666666667	3.7639	3.0791	46.476150000000004	3.9409	0.0
Tlk1	61.85531127049178	38.94746166666668	49.45003293413173	39.80082307692308	35.421611111111105	46.59415000000002
Zc3h11a	139.78676251236388	100.133694214876	131.25701832460726	162.05579333333333	98.20968163265307	102.12521911764705
Smo	18.570612087912085	12.506154545454542	25.744361363636358	2.2474	3.9316	12.154825
Ftsj3	31.819869893899234	47.45073221476512	37.4835642857143	33.63841428571428	58.02503478260869	51.34705609756097
Esyt2	112.11183211100102	41.58753282051284	99.3278026595745	41.27054166666667	30.300619047619048	41.30682783505154
Syne3	12.63702333333333	0.0	7.551750000000001	0.0	0.0	0.0
Zfp27	30.686334124629074	45.904445833333334	30.92633099999999	33.391466666666666	39.70101250000001	48.142472131147535
Sema3f	9.68364921875	12.74819512195122	18.242625	17.483725	24.150889473684213	10.705465217391307
Sec23b	78.51869327902234	128.72319647577095	68.8144382857143	49.9882923076923	109.72681458333334	133.3863450381679
Gprin1	14.794531107491844	20.444494512195124	26.809579797979804	40.4086076923077	61.24114888888888	28.292501315789476
Itgb8	46.845299999999995	8.397780000000001	23.948525	30.1367	15.530633333333334	0.5546333333333333
