uniprot	unigene	gene	index	order
E9Q0K5_MOUSE	Vmn2r63	Vmn2r63	44682	0
A0A075B5Q6_MOUSE	Ighv5-9-1	Ighv5-9-1	24783	0
D3Z3N4_MOUSE	Hnrnph3	Hnrnph3	24233	0
A0A0G2JDZ1_MOUSE	Iglj2	Iglj2	24992	0
A0A140T8N7_MOUSE	Igkv6-25	Igkv6-25	24963	0
A0A1C7CYV3_MOUSE	Zscan4-ps1	Zscan4-ps1	45711	0
E9PWW6_MOUSE	Zc3h7a	Zc3h7a	45160	0
A0A075B5U6_MOUSE	Ighv1-20	Ighv1-20	24646	0
F8VPT3_MOUSE	Lct	Lct	31501	0
A0A075B5J2_MOUSE	Trbv30	Trbv30	43251	0
A0A1B0GSI5_MOUSE	Gm33543	Gm33543	17269	0
