uniprot	unigene	gene	index	order
F7CLI9_MACMU	NHS	NHS	10279	0
F6Z280_MACMU	KCNAB3	KCNAB3	7843	0
F7EGM1_MACMU	TMPRSS3	TMPRSS3	16228	0
F6TWA1_MACMU	TAPBP	TAPBP	15474	0
F7H281_MACMU	NPTX2	NPTX2	10482	0
F7B8I1_MACMU	DNAJC5G	DNAJC5G	4431	0
F7A3S0_MACMU	COG7	COG7	3427	0
F6TE96_MACMU	ADGB	ADGB	307	0
F7HIM4_MACMU	PAOX	PAOX	11231	0
F6Q5K2_MACMU	ACTRT3	ACTRT3	218	0
F6SCP6_MACMU	PPBP	PPBP	12124	0
F7HCR6_MACMU	NOTCH4	NOTCH4	10426	0
A0A5F8A385_MACMU	CDK14	CDK14	2869	0
F6TLE9_MACMU	CAPN9	CAPN9	2362	0
F7GSZ4_MACMU	IL2RB	IL2RB	7502	0
F7DNT2_MACMU	CCDC33	CCDC33	2547	0
F7H3A2_MACMU	CHRNG	CHRNG	3142	0
A0A5F7ZWV5_MACMU	CLEC4G	CLEC4G	3267	0
A0A5F8AG11_MACMU	OR13A1	OR13A1	10811	0
F7A1F3_MACMU	PITRM1	PITRM1	11773	0
F7HLD2_MACMU	ITM2C	ITM2C	7737	0
F6QNE7_MACMU	EAF2	EAF2	4660	0
A0A5F8AKT7_MACMU	B3GAT2	B3GAT2	1283	0
A0A5F7ZF76_MACMU	USP48	USP48	17103	0
F6V0C3_MACMU	STMN3	STMN3	15209	0
A0A5F8ASF2_MACMU	PAFAH2	PAFAH2	11191	0
F7D000_MACMU	ADM2	ADM2	323	0
